time,Asin(wt)
0.0,1.0
0.01,0.9980267284282716
0.02,0.9921147013144779
0.03,0.9822872507286887
0.04,0.9685831611286311
0.05,0.9510565162951535
0.06,0.9297764858882515
0.07,0.9048270524660195
0.08,0.8763066800438636
0.09,0.8443279255020151
0.1,0.8090169943749475
0.11,0.7705132427757893
0.12,0.7289686274214116
0.13,0.6845471059286886
0.14,0.6374239897486896
0.15,0.5877852522924731
0.16,0.5358267949789965
0.17,0.48175367410171516
0.18,0.42577929156507266
0.19,0.3681245526846781
0.2,0.30901699437494745
0.21,0.24868988716485496
0.22,0.18738131458572474
0.23,0.12533323356430426
0.24,0.06279051952931353
0.25,6.123233995736766e-17
0.26,-0.0627905195293134
0.27,-0.12533323356430437
0.28,-0.18738131458572482
0.29,-0.24868988716485463
0.3,-0.30901699437494734
0.31,-0.368124552684678
0.32,-0.4257792915650727
0.33,-0.48175367410171543
0.34,-0.5358267949789969
0.35000000000000003,-0.587785252292473
0.36,-0.6374239897486897
0.37,-0.6845471059286887
0.38,-0.7289686274214113
0.39,-0.7705132427757891
0.4,-0.8090169943749473
0.41000000000000003,-0.8443279255020151
0.42,-0.8763066800438635
0.43,-0.9048270524660194
0.44,-0.9297764858882513
0.45,-0.9510565162951535
0.46,-0.9685831611286311
0.47000000000000003,-0.9822872507286887
0.48,-0.9921147013144778
0.49,-0.9980267284282716
0.5,-1.0
0.51,-0.9980267284282716
0.52,-0.9921147013144779
0.53,-0.9822872507286886
0.54,-0.9685831611286311
0.55,-0.9510565162951535
0.56,-0.9297764858882512
0.5700000000000001,-0.9048270524660195
0.58,-0.8763066800438637
0.59,-0.8443279255020152
0.6,-0.8090169943749475
0.61,-0.7705132427757893
0.62,-0.7289686274214116
0.63,-0.684547105928689
0.64,-0.6374239897486895
0.65,-0.5877852522924732
0.66,-0.5358267949789963
0.67,-0.48175367410171527
0.68,-0.42577929156507216
0.6900000000000001,-0.3681245526846778
0.7000000000000001,-0.30901699437494756
0.71,-0.2486898871648553
0.72,-0.18738131458572463
0.73,-0.1253332335643046
0.74,-0.06279051952931321
0.75,-1.8369701987210297e-16
0.76,0.06279051952931283
0.77,0.12533323356430423
0.78,0.18738131458572427
0.79,0.24868988716485493
0.8,0.30901699437494723
0.81,0.36812455268467825
0.8200000000000001,0.4257792915650726
0.8300000000000001,0.4817536741017157
0.84,0.535826794978996
0.85,0.5877852522924729
0.86,0.6374239897486893
0.87,0.6845471059286886
0.88,0.7289686274214112
0.89,0.7705132427757894
0.9,0.8090169943749473
0.91,0.8443279255020152
0.92,0.8763066800438636
0.93,0.9048270524660197
0.9400000000000001,0.9297764858882515
0.9500000000000001,0.9510565162951535
0.96,0.968583161128631
0.97,0.9822872507286887
0.98,0.9921147013144778
0.99,0.9980267284282716
1.0,1.0
